"","year","month","day","country","activity","disease"
"109",2003,3,9,"Thailand",NA,"dengue"
"110",2003,3,9,"Venezuela",0.169,"dengue"
"111",2003,3,16,"Argentina",0.046,"dengue"
"112",2003,3,16,"Bolivia",0.289,"dengue"
"113",2003,3,16,"Brazil",0.162,"dengue"
"114",2003,3,16,"India",0.006,"dengue"
"115",2003,3,16,"Indonesia",0.08,"dengue"
"116",2003,3,16,"Mexico",0.064,"dengue"
"117",2003,3,16,"Philippines",NA,"dengue"
"118",2003,3,16,"Singapore",0.12,"dengue"
"119",2003,3,16,"Thailand",NA,"dengue"
"120",2003,3,16,"Venezuela",0.157,"dengue"
"121",2003,3,23,"Argentina",0.043,"dengue"
"122",2003,3,23,"Bolivia",0.227,"dengue"
"123",2003,3,23,"Brazil",0.17,"dengue"
"124",2003,3,23,"India",0.015,"dengue"
"125",2003,3,23,"Indonesia",0.054,"dengue"
"126",2003,3,23,"Mexico",0.073,"dengue"
"127",2003,3,23,"Philippines",NA,"dengue"
"128",2003,3,23,"Singapore",0.115,"dengue"
"129",2003,3,23,"Thailand",NA,"dengue"
"130",2003,3,23,"Venezuela",0.154,"dengue"
"131",2003,3,30,"Argentina",0.039,"dengue"
"132",2003,3,30,"Bolivia",0.194,"dengue"
"133",2003,3,30,"Brazil",0.176,"dengue"
"134",2003,3,30,"India",0.033,"dengue"
"135",2003,3,30,"Indonesia",0.071,"dengue"
"136",2003,3,30,"Mexico",0.076,"dengue"
"137",2003,3,30,"Philippines",0.059,"dengue"
"138",2003,3,30,"Singapore",0.104,"dengue"
"139",2003,3,30,"Thailand",NA,"dengue"
"140",2003,3,30,"Venezuela",0.138,"dengue"
"141",2003,4,6,"Argentina",0.036,"dengue"
"142",2003,4,6,"Bolivia",0.121,"dengue"
"143",2003,4,6,"Brazil",0.134,"dengue"
"144",2003,4,6,"India",0.008,"dengue"
"145",2003,4,6,"Indonesia",0.054,"dengue"
"146",2003,4,6,"Mexico",0.068,"dengue"
"147",2003,4,6,"Philippines",0.059,"dengue"
"148",2003,4,6,"Singapore",0.107,"dengue"
"149",2003,4,6,"Thailand",NA,"dengue"
"150",2003,4,6,"Venezuela",0.136,"dengue"
"151",2003,4,13,"Argentina",0.031,"dengue"
"152",2003,4,13,"Bolivia",0.101,"dengue"
"153",2003,4,13,"Brazil",0.15,"dengue"
"154",2003,4,13,"India",0.012,"dengue"
"155",2003,4,13,"Indonesia",0.088,"dengue"
"156",2003,4,13,"Mexico",0.055,"dengue"
"157",2003,4,13,"Philippines",0.058,"dengue"
"158",2003,4,13,"Singapore",0.101,"dengue"
"159",2003,4,13,"Thailand",NA,"dengue"
"160",2003,4,13,"Venezuela",0.129,"dengue"
"161",2003,4,20,"Argentina",0.029,"dengue"
"162",2003,4,20,"Bolivia",0.147,"dengue"
"163",2003,4,20,"Brazil",0.104,"dengue"
"164",2003,4,20,"India",0.03,"dengue"
"165",2003,4,20,"Indonesia",0.054,"dengue"
"166",2003,4,20,"Mexico",0.056,"dengue"
"167",2003,4,20,"Philippines",0.058,"dengue"
"168",2003,4,20,"Singapore",0.102,"dengue"
"169",2003,4,20,"Thailand",NA,"dengue"
"170",2003,4,20,"Venezuela",0.168,"dengue"
"171",2003,4,27,"Argentina",0.034,"dengue"
"172",2003,4,27,"Bolivia",0.097,"dengue"
"173",2003,4,27,"Brazil",0.104,"dengue"
"174",2003,4,27,"India",0.004,"dengue"
"175",2003,4,27,"Indonesia",0.081,"dengue"
"176",2003,4,27,"Mexico",0.072,"dengue"
"177",2003,4,27,"Philippines",0.061,"dengue"
"178",2003,4,27,"Singapore",0.128,"dengue"
"179",2003,4,27,"Thailand",NA,"dengue"
"180",2003,4,27,"Venezuela",0.263,"dengue"
"181",2003,5,4,"Argentina",0.031,"dengue"
"182",2003,5,4,"Bolivia",0.069,"dengue"
"183",2003,5,4,"Brazil",0.089,"dengue"
"184",2003,5,4,"India",0.007,"dengue"
"185",2003,5,4,"Indonesia",0.068,"dengue"
"186",2003,5,4,"Mexico",0.071,"dengue"
"187",2003,5,4,"Philippines",0.059,"dengue"
"188",2003,5,4,"Singapore",0.132,"dengue"
"189",2003,5,4,"Thailand",NA,"dengue"
"190",2003,5,4,"Venezuela",0.222,"dengue"
"191",2003,5,11,"Argentina",0.039,"dengue"
"192",2003,5,11,"Bolivia",0.064,"dengue"
"193",2003,5,11,"Brazil",0.067,"dengue"
"194",2003,5,11,"India",0,"dengue"
"195",2003,5,11,"Indonesia",0.048,"dengue"
"196",2003,5,11,"Mexico",0.06,"dengue"
"197",2003,5,11,"Philippines",0.059,"dengue"
"198",2003,5,11,"Singapore",0.14,"dengue"
"199",2003,5,11,"Thailand",NA,"dengue"
"200",2003,5,11,"Venezuela",0.2,"dengue"
"201",2003,5,18,"Argentina",0.039,"dengue"
"202",2003,5,18,"Bolivia",0.053,"dengue"
