"","year","month","day","country","activity","disease"
"118",2003,1,26,"Australia",NA,"flu"
"119",2003,1,26,"Austria",NA,"flu"
"120",2003,1,26,"Belgium",NA,"flu"
"121",2003,1,26,"Bolivia",NA,"flu"
"122",2003,1,26,"Brazil",131,"flu"
"123",2003,1,26,"Bulgaria",NA,"flu"
"124",2003,1,26,"Canada",NA,"flu"
"125",2003,1,26,"Chile",0,"flu"
"126",2003,1,26,"France",NA,"flu"
"127",2003,1,26,"Germany",NA,"flu"
"128",2003,1,26,"Hungary",NA,"flu"
"129",2003,1,26,"Japan",NA,"flu"
"130",2003,1,26,"Mexico",NA,"flu"
"131",2003,1,26,"Netherlands",NA,"flu"
"132",2003,1,26,"New.Zealand",NA,"flu"
"133",2003,1,26,"Norway",NA,"flu"
"134",2003,1,26,"Paraguay",NA,"flu"
"135",2003,1,26,"Peru",241,"flu"
"136",2003,1,26,"Poland",NA,"flu"
"137",2003,1,26,"Romania",NA,"flu"
"138",2003,1,26,"Russia",NA,"flu"
"139",2003,1,26,"South.Africa",NA,"flu"
"140",2003,1,26,"Spain",NA,"flu"
"141",2003,1,26,"Sweden",NA,"flu"
"142",2003,1,26,"Switzerland",NA,"flu"
"143",2003,1,26,"Ukraine",NA,"flu"
"144",2003,1,26,"United.States",NA,"flu"
"145",2003,1,26,"Uruguay",NA,"flu"
"146",2003,2,2,"Argentina",136,"flu"
"147",2003,2,2,"Australia",NA,"flu"
"148",2003,2,2,"Austria",NA,"flu"
"149",2003,2,2,"Belgium",NA,"flu"
"150",2003,2,2,"Bolivia",NA,"flu"
"151",2003,2,2,"Brazil",151,"flu"
"152",2003,2,2,"Bulgaria",NA,"flu"
"153",2003,2,2,"Canada",NA,"flu"
"154",2003,2,2,"Chile",0,"flu"
"155",2003,2,2,"France",NA,"flu"
"156",2003,2,2,"Germany",NA,"flu"
"157",2003,2,2,"Hungary",NA,"flu"
"158",2003,2,2,"Japan",NA,"flu"
"159",2003,2,2,"Mexico",NA,"flu"
"160",2003,2,2,"Netherlands",NA,"flu"
"161",2003,2,2,"New.Zealand",NA,"flu"
"162",2003,2,2,"Norway",NA,"flu"
"163",2003,2,2,"Paraguay",NA,"flu"
"164",2003,2,2,"Peru",227,"flu"
"165",2003,2,2,"Poland",NA,"flu"
"166",2003,2,2,"Romania",NA,"flu"
"167",2003,2,2,"Russia",NA,"flu"
"168",2003,2,2,"South.Africa",NA,"flu"
"169",2003,2,2,"Spain",NA,"flu"
"170",2003,2,2,"Sweden",NA,"flu"
"171",2003,2,2,"Switzerland",NA,"flu"
"172",2003,2,2,"Ukraine",NA,"flu"
"173",2003,2,2,"United.States",NA,"flu"
"174",2003,2,2,"Uruguay",NA,"flu"
"175",2003,2,9,"Argentina",145,"flu"
"176",2003,2,9,"Australia",NA,"flu"
"177",2003,2,9,"Austria",NA,"flu"
"178",2003,2,9,"Belgium",NA,"flu"
"179",2003,2,9,"Bolivia",NA,"flu"
"180",2003,2,9,"Brazil",184,"flu"
"181",2003,2,9,"Bulgaria",NA,"flu"
"182",2003,2,9,"Canada",NA,"flu"
"183",2003,2,9,"Chile",0,"flu"
"184",2003,2,9,"France",NA,"flu"
"185",2003,2,9,"Germany",NA,"flu"
"186",2003,2,9,"Hungary",NA,"flu"
"187",2003,2,9,"Japan",NA,"flu"
"188",2003,2,9,"Mexico",NA,"flu"
"189",2003,2,9,"Netherlands",NA,"flu"
"190",2003,2,9,"New.Zealand",NA,"flu"
"191",2003,2,9,"Norway",NA,"flu"
"192",2003,2,9,"Paraguay",NA,"flu"
"193",2003,2,9,"Peru",250,"flu"
"194",2003,2,9,"Poland",NA,"flu"
"195",2003,2,9,"Romania",664,"flu"
"196",2003,2,9,"Russia",NA,"flu"
"197",2003,2,9,"South.Africa",NA,"flu"
"198",2003,2,9,"Spain",NA,"flu"
"199",2003,2,9,"Sweden",NA,"flu"
"200",2003,2,9,"Switzerland",NA,"flu"
"201",2003,2,9,"Ukraine",NA,"flu"
"202",2003,2,9,"United.States",NA,"flu"
"203",2003,2,9,"Uruguay",NA,"flu"
"204",2003,2,16,"Argentina",141,"flu"
"205",2003,2,16,"Australia",NA,"flu"
"206",2003,2,16,"Austria",NA,"flu"
"207",2003,2,16,"Belgium",NA,"flu"
"208",2003,2,16,"Bolivia",NA,"flu"
"209",2003,2,16,"Brazil",162,"flu"
"210",2003,2,16,"Bulgaria",NA,"flu"
"211",2003,2,16,"Canada",NA,"flu"
"212",2003,2,16,"Chile",0,"flu"
"213",2003,2,16,"France",NA,"flu"
"214",2003,2,16,"Germany",NA,"flu"
"215",2003,2,16,"Hungary",NA,"flu"
"216",2003,2,16,"Japan",NA,"flu"
"217",2003,2,16,"Mexico",NA,"flu"
"218",2003,2,16,"Netherlands",NA,"flu"
"219",2003,2,16,"New.Zealand",NA,"flu"
"220",2003,2,16,"Norway",NA,"flu"
"221",2003,2,16,"Paraguay",NA,"flu"
"222",2003,2,16,"Peru",236,"flu"
"223",2003,2,16,"Poland",NA,"flu"
"224",2003,2,16,"Romania",736,"flu"
"225",2003,2,16,"Russia",NA,"flu"
"226",2003,2,16,"South.Africa",NA,"flu"
"227",2003,2,16,"Spain",NA,"flu"
"228",2003,2,16,"Sweden",NA,"flu"
"229",2003,2,16,"Switzerland",NA,"flu"
"230",2003,2,16,"Ukraine",NA,"flu"
"231",2003,2,16,"United.States",NA,"flu"
"232",2003,2,16,"Uruguay",NA,"flu"
"233",2003,2,23,"Argentina",135,"flu"
"234",2003,2,23,"Australia",NA,"flu"
"235",2003,2,23,"Austria",NA,"flu"
"236",2003,2,23,"Belgium",NA,"flu"
"237",2003,2,23,"Bolivia",426,"flu"
"238",2003,2,23,"Brazil",194,"flu"
